codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
654;SERVIU REGION DEL BIOBIO;6979;SERVICIO DE VIVIENDA Y URBANIZACION REGIÓN DEL BIO BIO;Región del Biobío;Concepción;4
654478;Subsecretaría de Prevención del Delito;1256896;SUBSECRETARIA DE PREVENCION DEL DELITO;Región Metropolitana de Santiago;Santiago;3
655;Sección Servicios Generales;6980;SERVICIO DE VIVIENDA Y URBANIZACION IX REGION;Región de la Araucanía;Temuco;2
655348;"Companía Andina Divisionaria N° 20 ""Cochrane""";111870;DIVISION LOGISTICA DEL EJERCITO;Región Aysén del General Carlos Ibáñez del Campo;Aysén;4
656;SERVIU X REGION;6981;SERVICIO DE VIVIENDA Y URBANIZACION X REGION;Región de los Lagos;Puerto Montt;3
658;SEREMI IV REGION;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región de Coquimbo;La Serena;1
659;SEREMI VIII REGION;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región del Biobío;Concepción;1
661;Seremi-Minvu XII Región;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región de Magallanes y de la Antártica;Punta Arenas;2
661439;Seguridad Presidencial;7238;PRESIDENCIA DE LA REPUBLICA;Región Metropolitana de Santiago;Santiago Centro;2
661769;IPS Pasajes Aereos;1090469;INSTITUTO DE PREVISION SOCIAL;Región Metropolitana de Santiago;Santiago Centro;3
662237;SENDA NACIONAL;1264424;SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE D;Región Metropolitana de Santiago;Santiago Centro;2
664;SEREMI de Antofagasta;6941;MINISTERIO DE BIENES NACIONALES;Región de Antofagasta;Antofagasta;1
673335;SENDA-DIRECCIÓN REGIONAL BIO BIO;1264424;SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE D;Región del Biobío;Concepción;1
673721;SENDA-DIRECCIÓN REGIONAL METROPOLITANA;1264424;SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE D;Región Metropolitana de Santiago;Santiago Centro;1
675;SEREMI del Maule;6941;MINISTERIO DE BIENES NACIONALES;Región del Maule;Talca;1
678;SEREMI de La Araucanía;6941;MINISTERIO DE BIENES NACIONALES;Región de la Araucanía;Temuco;1
680;SEREMI de Los Lagos;6941;MINISTERIO DE BIENES NACIONALES;Región de los Lagos;Puerto Montt;1
680482;Jdo de Garantia de Parral;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región del Maule;Parral;1
680499;TOP de Talca;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región del Maule;Talca;3
682257;Jdo de Garantia de Los Lagos;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región de Los Ríos;Los Lagos;1
682264;Jdo de Letras y Garantia de La Union;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región de Los Ríos;La Unión;5
682265;Jdo de Letras de La Mariquina;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región de Los Ríos;Mariquina;1
685;SEREMI Metropolitana;6941;MINISTERIO DE BIENES NACIONALES;Región Metropolitana de Santiago;Alhué;1
687293;ADQUISICIONES;1288587;FUNDACION CHILE;Región Metropolitana de Santiago;Vitacura;3
688;OFICINA DE ESTUDIOS Y POLITICAS AGRARIAS;7005;OFICINA DE ESTUDIOS Y POLITICAS AGRARIAS;Región Metropolitana de Santiago;Santiago;1
691;SEREMI MINVU VII REGION;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región del Maule;Talca;1
691232;ADM. FINANCIERO DEL SISTEMA DE SALUD DE LA ARMADA;111875;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;Región de Valparaíso;Viña del Mar;3
691860;FACULTAD DE FILOSOFIA Y EDUCACION;164268;UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION;Región Metropolitana de Santiago;Ñuñoa;1
692618;SUSTENTABILIDAD;1288587;FUNDACION CHILE;Región Metropolitana de Santiago;Vitacura;7
696212;FISCALIA REGIONAL METROPOLITANA SUR;224060;MINISTERIO PUBLICO;Región Metropolitana de Santiago;San Miguel;3
696217;FR TARAPACA;224060;MINISTERIO PUBLICO;Región de Tarapacá;Iquique;4
696704;FR MAULE;224060;MINISTERIO PUBLICO;Región del Maule;Talca;2
696713;FRM ORIENTE;224060;MINISTERIO PUBLICO;Región Metropolitana de Santiago;Las Condes;1
696954;FISCALIA LOS LAGOS;224060;MINISTERIO PUBLICO;;;1
696961;FR ARAUCANIA;224060;MINISTERIO PUBLICO;Región de la Araucanía;Temuco;1
697;INSTITUTO ANTARTICO CHILENO;7004;INSTITUTO ANTARTICO CHILENO;Región de Magallanes y de la Antártica;Punta Arenas;5
699360;Departamento Análisis Criminal;113812;DIRECCION DE LOGISTICA DE CARABINEROS;Región Metropolitana de Santiago;Santiago Centro;1
699866;Insumos Clínicos;7260;SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA;Región del Maule;Talca;28
700;INE -  III REGION;6931;INSTITUTO NACIONAL DE ESTADISTICAS;Región de Atacama;Copiapó;1
700591;CENTRO INNOVACION EN CAPITAL HUMANO;1288587;FUNDACION CHILE;Región Metropolitana de Santiago;Vitacura;7
701;D.N - Servicio Nacional de Pesca y Acuicultura;7008;SERV NACIONAL DE PESCA;Región de Valparaíso;Valparaíso;30
701475;Jdo de Letras del Trabajo de Chillan;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región del Ñuble;Chillán;1
707409;Regional Arica-Parinacota;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de Arica y Parinacota;Arica;1
707415;Regional Antofagasta;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de Antofagasta;Antofagasta;1
707418;Regional Coquimbo;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de Coquimbo;La Serena;4
707419;Regional Valparaiso;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de Valparaíso;Viña del Mar;6
707420;Regional Maule;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región del Maule;Talca;2
707422;Regional Bio-Bio;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región del Biobío;Concepción;24
707423;Regional Araucania;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de la Araucanía;Temuco;9
707425;Regional Los Lagos;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región de los Lagos;Puerto Montt;5
707426;Regional Aysen;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;8
707428;Regional Sur-Oriente;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región Metropolitana de Santiago;Santiago;3
707429;Regional Nor-Poniente;1172700;FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ;Región Metropolitana de Santiago;Santiago Centro;13
709129;FR Magallanes;224060;MINISTERIO PUBLICO;Región de Magallanes y de la Antártica;Punta Arenas;2
709603;SUPERINTENDENCIA DE EDUCACIÓN ESCOLAR;1309788;SUPERINTENDENCIA DE EDUCACION ESCOLAR;Región Metropolitana de Santiago;Santiago;12
711;SUBSECRETARÍA DE TRANSPORTES;7007;SUBSECRETARIA DE TRANSPORTES;Región Metropolitana de Santiago;Santiago;14
711841;SUBSECRETARIA DE SERVICIOS SOCIALES;6947;SUBSECRETARIA DE SERVICIOS SOCIALES;Región Metropolitana de Santiago;Santiago Centro;22
